variant,regime,cn,n_cycles,bit_exact,div_cols,worst_col,worst_cycle,max_rel_pct,max_abs_diff,struct_max_rel_pct,vol_max_rel_pct,density_bitexact,converges,signature
SN,none,199192446020004,6,false,TPA|CCF|TCuFt|MCuFt|SCuFt|BdFt,MCuFt,2037,1.424,176.0,0.364,1.424,true,false,volume_persistent
SN,none,199194981020004,6,false,TPA|BA|CCF|TCuFt|MCuFt|SCuFt|BdFt,BdFt,2032,1.368,345.0,0.623,1.368,true,false,volume_persistent
SN,none,199195057020004,6,false,TPA|BA|CCF|QMD|TCuFt|MCuFt|SCuFt|BdFt,BdFt,2037,2.22,314.0,1.961,2.22,true,false,volume_persistent
SN,none,199198333020004,6,false,TPA|BA|CCF|TopHt|TCuFt|MCuFt|SCuFt|BdFt,BdFt,2037,1.622,258.0,1.053,1.622,true,false,volume_persistent
SN,none,220028822010854,6,false,TPA|CCF|TCuFt|MCuFt|SCuFt|BdFt,MCuFt,2023,1.238,24.0,0.251,1.238,true,false,volume_persistent
SN,none,220028825010854,6,false,TPA|BA|SDI|CCF|TopHt|QMD|TCuFt|MCuFt,MCuFt,2023,21.111,19.0,3.846,21.111,false,false,structure_densephase
SN,none,220028897010854,6,false,TPA|BA|SDI|CCF|TCuFt|MCuFt|SCuFt|BdFt,BdFt,2018,1.264,170.0,0.777,1.264,true,false,volume_persistent
SN,none,220029245010854,6,false,TPA|CCF|TCuFt|MCuFt,MCuFt,2023,4.22,82.0,0.641,4.22,true,false,volume_persistent
SN,none,220063493010854,6,false,TPA|SDI|CCF|TCuFt|MCuFt|SCuFt|BdFt,BdFt,2024,3.349,235.0,0.337,3.349,true,false,volume_persistent
SN,none,220063649010854,6,false,TPA|BA|SDI|CCF|TopHt|TCuFt|MCuFt|SCuFt|BdFt,BdFt,2019,1.368,180.0,1.075,1.368,true,false,volume_persistent
SN,none,220063883010854,6,false,BA|SDI|CCF|TopHt|QMD|TCuFt|MCuFt|SCuFt|BdFt,QMD,2014,1.562,180.0,1.562,0.798,false,false,structure_densephase
SN,none,220064574010854,6,false,TPA|BA|SDI|CCF|TCuFt|MCuFt|SCuFt|BdFt,BdFt,2024,4.728,446.0,0.794,4.728,true,false,volume_persistent
SN,none,220156133010854,6,false,TPA|BA|SDI|CCF|TCuFt|MCuFt|SCuFt|BdFt,SCuFt,2025,2.091,266.0,0.935,2.091,true,false,volume_persistent
SN,none,220266315010854,6,false,TPA|BA|SDI|CCF|QMD|TCuFt|MCuFt|SCuFt|BdFt,TPA,2028,3.694,85.0,3.694,1.625,false,false,structure_densephase
SN,none,220266615010854,6,false,TPA|BA|SDI|CCF|TCuFt|MCuFt|SCuFt|BdFt,CCF,2028,1.681,86.0,1.681,0.569,false,false,structure_densephase
SN,none,220266685010854,6,false,TPA|SDI|CCF|TCuFt|MCuFt|SCuFt|BdFt,SCuFt,2029,4.196,168.0,0.65,4.196,true,false,volume_persistent
SN,none,220266778010854,6,false,TPA|BA|SDI|CCF|TCuFt|MCuFt|SCuFt|BdFt,TPA,2029,3.32,82.0,3.32,2.538,false,false,structure_densephase
