fia,region,b1,b2,b3,b4,b5,b6
746,CS,6.43010,0.23545,1.33800,0.47370,0.73385,0.08228
760,CS,7.27730,0.22721,1.00000,0.41179,0.76498,0.11046
761,CS,7.27730,0.22721,1.00000,0.41179,0.76498,0.11046
762,CS,7.27730,0.22721,1.00000,0.41179,0.76498,0.11046
763,CS,7.27730,0.22721,1.00000,0.41179,0.76498,0.11046
766,CS,7.27730,0.22721,1.00000,0.41179,0.76498,0.11046
800,CS,9.20780,0.22208,1.00000,0.31723,0.83560,0.13465
802,CS,9.20780,0.22208,1.00000,0.31723,0.83560,0.13465
804,CS,9.20780,0.22208,1.00000,0.31723,0.83560,0.13465
806,CS,3.80110,0.39213,2.90530,0.55634,0.84317,0.09593
809,CS,6.68440,0.19049,1.00000,0.43972,0.82962,0.10806
812,CS,6.68440,0.19049,1.00000,0.43972,0.82962,0.10806
813,CS,9.20780,0.22208,1.00000,0.31723,0.83560,0.13465
816,CS,6.68440,0.19049,1.00000,0.43972,0.82962,0.10806
817,CS,9.20780,0.22208,1.00000,0.31723,0.83560,0.13465
822,CS,9.20780,0.22208,1.00000,0.31723,0.83560,0.13465
823,CS,9.20780,0.22208,1.00000,0.31723,0.83560,0.13465
824,CS,3.80110,0.39213,2.90530,0.55634,0.84317,0.09593
825,CS,9.20780,0.22208,1.00000,0.31723,0.83560,0.13465
826,CS,9.20780,0.22208,1.00000,0.31723,0.83560,0.13465
827,CS,9.20780,0.22208,1.00000,0.31723,0.83560,0.13465
828,CS,9.20780,0.22208,1.00000,0.31723,0.83560,0.13465
830,CS,9.20780,0.22208,1.00000,0.31723,0.83560,0.13465
831,CS,9.20780,0.22208,1.00000,0.31723,0.83560,0.13465
832,CS,3.80110,0.39213,2.90530,0.55634,0.84317,0.09593
833,CS,6.68440,0.19049,1.00000,0.43972,0.82962,0.10806
834,CS,9.20780,0.22208,1.00000,0.31723,0.83560,0.13465
835,CS,3.80110,0.39213,2.90530,0.55634,0.84317,0.09593
836,CS,3.80110,0.39213,2.90530,0.55634,0.84317,0.09593
837,CS,3.80110,0.39213,2.90530,0.55634,0.84317,0.09593
901,CS,6.43010,0.23545,1.33800,0.47370,0.73385,0.08228
920,CS,6.95720,0.26564,1.00000,0.48660,0.76954,0.01618
922,CS,6.95720,0.26564,1.00000,0.48660,0.76954,0.01618
923,CS,6.43010,0.23545,1.33800,0.47370,0.73385,0.08228
931,CS,6.43010,0.23545,1.33800,0.47370,0.73385,0.08228
935,CS,13.62000,0.24255,1.28850,0.25831,0.68128,0.10771
951,CS,6.36280,0.27859,1.86770,0.49589,0.76169,0.05841
952,CS,6.36280,0.27859,1.86770,0.49589,0.76169,0.05841
970,CS,8.45800,0.27527,1.96020,0.34894,0.89213,0.12594
971,CS,8.45800,0.27527,1.96020,0.34894,0.89213,0.12594
972,CS,8.45800,0.27527,1.96020,0.34894,0.89213,0.12594
974,CS,8.45800,0.27527,1.96020,0.34894,0.89213,0.12594
975,CS,8.45800,0.27527,1.96020,0.34894,0.89213,0.12594
977,CS,8.45800,0.27527,1.96020,0.34894,0.89213,0.12594
990,CS,8.45800,0.27527,1.96020,0.34894,0.89213,0.12594
991,CS,6.43010,0.23545,1.33800,0.47370,0.73385,0.08228
992,CS,6.95720,0.26564,1.00000,0.48660,0.76954,0.01618
993,CS,13.62000,0.24255,1.28850,0.25831,0.68128,0.10771
994,CS,13.62000,0.24255,1.28850,0.25831,0.68128,0.10771
012,NE,14.30400,0.19894,1.41950,0.23349,0.76878,0.12399
043,NE,8.20790,0.19672,1.31120,0.33978,0.76173,0.11666
057,NE,8.20790,0.19672,1.31120,0.33978,0.76173,0.11666
068,NE,8.20790,0.19672,1.31120,0.33978,0.76173,0.11666
071,NE,13.62000,0.24255,1.28850,0.25831,0.68128,0.10771
090,NE,31.95700,0.18511,1.70200,0.00000,0.68967,0.16200
091,NE,31.95700,0.18511,1.70200,0.00000,0.68967,0.16200
094,NE,31.95700,0.18511,1.70200,0.00000,0.68967,0.16200
095,NE,31.95700,0.18511,1.70200,0.00000,0.68967,0.16200
097,NE,31.95700,0.18511,1.70200,0.00000,0.68967,0.16200
100,NE,36.85100,0.08298,1.00000,0.00001,0.63884,0.18231
105,NE,36.85100,0.08298,1.00000,0.00001,0.63884,0.18231
110,NE,36.85100,0.08298,1.00000,0.00001,0.63884,0.18231
123,NE,36.85100,0.08298,1.00000,0.00001,0.63884,0.18231
125,NE,36.85100,0.08298,1.00000,0.00001,0.63884,0.18231
126,NE,36.85100,0.08298,1.00000,0.00001,0.63884,0.18231
128,NE,36.85100,0.08298,1.00000,0.00001,0.63884,0.18231
129,NE,16.28100,0.08621,1.00000,0.16220,0.86833,0.23316
130,NE,36.85100,0.08298,1.00000,0.00001,0.63884,0.18231
131,NE,16.28100,0.08621,1.00000,0.16220,0.86833,0.23316
132,NE,16.93400,0.12972,1.00000,0.20854,0.77792,0.12902
221,NE,36.85100,0.08298,1.00000,0.00001,0.63884,0.18231
241,NE,8.20790,0.19672,1.31120,0.33978,0.76173,0.11666
260,NE,5.31170,0.10357,1.00000,0.68454,0.71410,0.00000
261,NE,5.31170,0.10357,1.00000,0.68454,0.71410,0.00000
290,NE,36.85100,0.08298,1.00000,0.00001,0.63884,0.18231
313,NE,13.62500,0.28668,1.61240,0.30651,1.02920,0.07460
314,NE,5.34160,0.23044,1.15290,0.54194,0.83440,0.06372
315,NE,13.62500,0.28668,1.61240,0.30651,1.02920,0.07460
316,NE,6.86000,0.27725,1.42870,0.40115,0.85299,0.12403
317,NE,5.34160,0.23044,1.15290,0.54194,0.83440,0.06372
318,NE,5.34160,0.23044,1.15290,0.54194,0.83440,0.06372
319,NE,13.62500,0.28668,1.61240,0.30651,1.02920,0.07460
330,NE,6.68440,0.19049,1.00000,0.43972,0.82962,0.10806
331,NE,6.68440,0.19049,1.00000,0.43972,0.82962,0.10806
332,NE,6.68440,0.19049,1.00000,0.43972,0.82962,0.10806
341,NE,13.62500,0.28668,1.61240,0.30651,1.02920,0.07460
356,NE,13.62500,0.28668,1.61240,0.30651,1.02920,0.07460
371,NE,7.18520,0.28384,1.44170,0.38884,0.82157,0.11411
372,NE,7.18520,0.28384,1.44170,0.38884,0.82157,0.11411
373,NE,7.18520,0.28384,1.44170,0.38884,0.82157,0.11411
374,NE,6.68440,0.19049,1.00000,0.43972,0.82962,0.10806
