habitat,fate,product,species_group,years_since_harvest,proportion
1,energy,pulpwood,softwood,25,0.4459
1,energy,pulpwood,softwood,26,0.4465
1,energy,pulpwood,softwood,27,0.4470
1,energy,pulpwood,softwood,28,0.4475
1,energy,pulpwood,softwood,29,0.4480
1,energy,pulpwood,softwood,30,0.4483
1,energy,pulpwood,softwood,31,0.4487
1,energy,pulpwood,softwood,32,0.4490
1,energy,pulpwood,softwood,33,0.4493
1,energy,pulpwood,softwood,34,0.4495
1,energy,pulpwood,softwood,35,0.4498
1,energy,pulpwood,softwood,36,0.4500
1,energy,pulpwood,softwood,37,0.4501
1,energy,pulpwood,softwood,38,0.4503
1,energy,pulpwood,softwood,39,0.4504
1,energy,pulpwood,softwood,40,0.4505
1,energy,pulpwood,softwood,41,0.4506
1,energy,pulpwood,softwood,42,0.4507
1,energy,pulpwood,softwood,43,0.4507
1,energy,pulpwood,softwood,44,0.4508
1,energy,pulpwood,softwood,45,0.4508
1,energy,pulpwood,softwood,46,0.4508
1,energy,pulpwood,softwood,47,0.4508
1,energy,pulpwood,softwood,48,0.4508
1,energy,pulpwood,softwood,49,0.4508
1,energy,pulpwood,softwood,50,0.4508
1,energy,pulpwood,softwood,51,0.4508
1,energy,pulpwood,softwood,52,0.4508
1,energy,pulpwood,softwood,53,0.4508
1,energy,pulpwood,softwood,54,0.4508
1,energy,pulpwood,softwood,55,0.4508
1,energy,pulpwood,softwood,56,0.4508
1,energy,pulpwood,softwood,57,0.4508
1,energy,pulpwood,softwood,58,0.4508
1,energy,pulpwood,softwood,59,0.4508
1,energy,pulpwood,softwood,60,0.4508
1,energy,pulpwood,softwood,61,0.4508
1,energy,pulpwood,softwood,62,0.4508
1,energy,pulpwood,softwood,63,0.4508
1,energy,pulpwood,softwood,64,0.4508
1,energy,pulpwood,softwood,65,0.4508
1,energy,pulpwood,softwood,66,0.4508
1,energy,pulpwood,softwood,67,0.4508
1,energy,pulpwood,softwood,68,0.4508
1,energy,pulpwood,softwood,69,0.4508
1,energy,pulpwood,softwood,70,0.4508
1,energy,pulpwood,softwood,71,0.4508
1,energy,pulpwood,softwood,72,0.4508
1,energy,pulpwood,softwood,73,0.4508
1,energy,pulpwood,softwood,74,0.4508
1,energy,pulpwood,softwood,75,0.4508
1,energy,pulpwood,softwood,76,0.4508
1,energy,pulpwood,softwood,77,0.4508
1,energy,pulpwood,softwood,78,0.4508
1,energy,pulpwood,softwood,79,0.4508
1,energy,pulpwood,softwood,80,0.4508
1,energy,pulpwood,softwood,81,0.4508
1,energy,pulpwood,softwood,82,0.4508
1,energy,pulpwood,softwood,83,0.4508
1,energy,pulpwood,softwood,84,0.4508
1,energy,pulpwood,softwood,85,0.4508
1,energy,pulpwood,softwood,86,0.4508
1,energy,pulpwood,softwood,87,0.4508
1,energy,pulpwood,softwood,88,0.4508
1,energy,pulpwood,softwood,89,0.4508
1,energy,pulpwood,softwood,90,0.4508
1,energy,pulpwood,softwood,91,0.4508
1,energy,pulpwood,softwood,92,0.4508
1,energy,pulpwood,softwood,93,0.4508
1,energy,pulpwood,softwood,94,0.4508
1,energy,pulpwood,softwood,95,0.4508
1,energy,pulpwood,softwood,96,0.4508
1,energy,pulpwood,softwood,97,0.4508
1,energy,pulpwood,softwood,98,0.4508
1,energy,pulpwood,softwood,99,0.4508
1,energy,pulpwood,softwood,100,0.4508
1,energy,pulpwood,softwood,101,0.4508
1,in_use,sawtimber,softwood,1,0.6288
1,in_use,sawtimber,softwood,2,0.5943
1,in_use,sawtimber,softwood,3,0.5634
1,in_use,sawtimber,softwood,4,0.5360
1,in_use,sawtimber,softwood,5,0.5114
1,in_use,sawtimber,softwood,6,0.4894
1,in_use,sawtimber,softwood,7,0.4691
1,in_use,sawtimber,softwood,8,0.4506
1,in_use,sawtimber,softwood,9,0.4331
1,in_use,sawtimber,softwood,10,0.4168
1,in_use,sawtimber,softwood,11,0.4020
1,in_use,sawtimber,softwood,12,0.3887
1,in_use,sawtimber,softwood,13,0.3767
1,in_use,sawtimber,softwood,14,0.3660
1,in_use,sawtimber,softwood,15,0.3562
1,in_use,sawtimber,softwood,16,0.3472
1,in_use,sawtimber,softwood,17,0.3388
1,in_use,sawtimber,softwood,18,0.3311
1,in_use,sawtimber,softwood,19,0.3238
1,in_use,sawtimber,softwood,20,0.3168
1,in_use,sawtimber,softwood,21,0.3102
1,in_use,sawtimber,softwood,22,0.3040
1,in_use,sawtimber,softwood,23,0.2981
1,in_use,sawtimber,softwood,24,0.2924
