species_index,code_alpha,code_fia,code_plants,dg_resid_sd,dg_intercept,dg_ln_dbh,dg_dbh_squared,dg_ln_crown_pct,dg_site_index,dg_relative_height,dg_stand_basal_area,dg_point_bal,dg_slope_tan,dg_slope_cos_aspect,dg_slope_sin_aspect,dg_prior_obs_count,dg_fortype_lowland_hw,dg_fortype_nonoak_hw,dg_fortype_oak_pine,dg_fortype_softwd_hp,dg_fortype_upland_hw,dg_fortype_upland_oak,dg_fortype_yellow_pine,dg_planted,dg_phys_pm221,dg_phys_pm222,dg_phys_pm231,dg_phys_p221,dg_phys_p222,dg_phys_s231t,dg_phys_s231l,dg_phys_p232,dg_phys_p234,dg_phys_p255,dg_phys_p411,bark_intercept,bark_slope,dg_bound_dbh_lo,dg_bound_dbh_hi,ht_curve_b1,ht_curve_b2,ht_curve_b3,ht_curve_b4,ht_curve_b5,ht_relht_yxs,ht_relht_r,ht_relht_b,mort_bkgd_intercept,mort_bkgd_dbh,sdi_max_default,site_index_min,site_index_max,site_group,varmrt_shade_adj
21,SV,317,ACSA2,0.593,-2.260482,1.449834,-0.000931,0.361311,0.003444,0.282436,-0.002133,-0.001383,-0.097604,-0.069753,0.094162,28402.0,0.0,-0.008575,-0.091712,-0.2265,-0.115718,-0.233899,-4.2e-5,0.0,-0.010003,-0.15782,-0.04678,0.171661,0.170429,-0.031739,0.111637,0.0,0.283893,0.0,-0.340066,-0.098,0.94646,998.0,999.0,1.0645,0.9918,-0.0812,1.5754,-0.0272,0.15,16.0,-1.2,5.1677,-0.0077681,590.0,30.0,105.0,9,0.3
22,SM,318,ACSA3,0.4755,-2.313444,1.350084,-0.000816,0.394806,-0.000542,0.631803,-0.001413,-0.001527,-0.032482,-0.009543,0.005581,2763.0,0.177698,0.081088,-0.00783,0.268289,0.018085,0.0,-0.969059,0.0,-0.074887,-0.21626,0.0,0.064792,0.0,-0.207182,-0.145892,0.70785,0.28978,0.0,0.0,-0.098,0.94646,998.0,999.0,6.1308,0.6904,-0.0195,10.1563,-0.533,0.2,20.0,-1.1,5.1677,-0.0077681,371.0,35.0,100.0,9,0.1
23,BU,330,AESCU,0.5373,-1.876225,1.197048,-0.000778,0.183857,0.010254,0.547747,-0.004219,-0.000586,-0.178079,0.187157,-0.108544,277.0,0.276485,0.0,0.0,0.0,-0.158379,-0.066001,0.0,0.0,0.0,0.0,0.0,0.168179,0.024888,0.029753,0.0,0.0,0.0,0.0,0.0,-0.35332,0.95955,998.0,999.0,6.1308,0.6904,-0.0195,10.1563,-0.533,0.15,16.0,-1.2,5.1677,-0.0077681,371.0,25.0,90.0,9,0.3
24,BB,370,BETUL,0.5696,-1.092055,1.024946,-0.000653,0.20677,0.002354,0.489441,-0.002005,-0.001848,-0.192793,-0.112449,0.113349,2107.0,0.0,-0.090106,-0.211483,-0.11285,-0.150287,-0.229603,-0.122245,0.0,0.0,0.379877,-0.528365,0.30676,0.167634,0.178981,0.365419,0.236959,0.417591,1.151813,0.0,0.2179,0.9229,38.4,54.0,6.0522,0.6768,-0.0217,15.4232,-0.6354,0.05,13.0,-1.6,5.9617,-0.0340128,400.0,35.0,85.0,9,0.7
25,SB,372,BELE,0.5696,-1.092055,1.024946,-0.000653,0.20677,0.002354,0.489441,-0.002005,-0.001848,-0.192793,-0.112449,0.113349,2107.0,0.0,-0.090106,-0.211483,-0.11285,-0.150287,-0.229603,-0.122245,0.0,0.0,0.379877,-0.528365,0.30676,0.167634,0.178981,0.365419,0.236959,0.417591,1.151813,0.0,0.2179,0.9229,998.0,999.0,6.0522,0.6768,-0.0217,15.4232,-0.6354,0.05,13.0,-1.6,5.1677,-0.0077681,350.0,35.0,70.0,9,0.7
26,AH,391,CACA18,0.6032,-1.281144,1.335625,0.0,0.111128,0.005347,-0.244632,-0.003852,-0.000644,-0.224489,0.031993,-0.160702,3513.0,0.0,0.107053,-0.184779,0.0,-0.144979,-0.125931,-0.023984,0.0,-0.260665,-0.170424,-0.314804,-0.11468,0.04355,-0.090864,0.087924,0.0,0.215406,0.0,0.0,-0.1304,0.97071,17.3,27.0,0.9276,1.0591,-0.0424,0.3529,0.3114,0.2,20.0,-1.1,5.1677,-0.0077681,375.0,15.0,40.0,9,0.1
27,HI,400,CARYA,0.4993,-2.728289,1.548449,-0.000761,0.203837,0.004399,0.570012,-0.003339,-0.001029,-0.245761,0.055798,0.080648,24404.0,0.307092,0.127121,0.075082,0.163686,0.145813,0.0,0.091028,0.0,0.03407,-0.221662,-0.17272,0.04251,-0.012725,0.0,0.116846,0.113816,0.183886,0.441744,0.0,-0.60912,0.94347,998.0,999.0,1.8326,1.0015,-0.0207,1.408,-0.0005,0.1,15.0,-1.45,5.9617,-0.0340128,276.0,25.0,85.0,9,0.5
28,CA,450,CATAL,0.4401,-1.06898,1.164191,0.0,0.084279,0.0097,0.501307,-0.001041,-0.001349,0.075733,-0.601088,-0.757088,972.0,0.0,0.0,-0.122639,0.0,-0.227215,0.428371,-0.127654,0.0,0.0,0.0,0.0,0.0,-0.010636,-0.380297,-0.091346,-0.145951,0.0,-0.227224,0.0,-0.33014,0.94215,46.5,144.0,4.2286,0.7857,-0.0178,4.6219,-0.3591,0.05,13.0,-1.6,5.9617,-0.0340128,492.0,30.0,90.0,9,0.7
29,HB,460,CELTI,0.5276,-0.833167,1.190567,0.0,0.193368,-5.6e-5,0.508738,-0.001846,-0.001776,-0.179044,0.039673,-0.071628,4485.0,0.0,-0.020917,-0.227013,0.0,-0.0466,-0.142184,-0.37316,0.0,-0.435211,-0.117993,-0.495339,-0.347813,-0.336521,-0.32578,-0.130359,-0.212093,0.0,-0.208957,0.0,-0.18338,0.95768,32.9,60.0,0.9276,1.0591,-0.0424,0.3529,0.3114,0.1,15.0,-1.45,5.9617,-0.0340128,420.0,15.0,90.0,9,0.5
30,RD,471,CECA4,0.5453,-1.062539,1.17405,0.0,0.239942,-0.005893,0.411945,-0.001141,-0.002822,-0.391784,0.039121,-0.03835,482.0,-0.131762,-0.159125,0.081533,0.0,0.0,-0.091293,0.005318,0.0,0.147356,0.184427,-0.070292,0.281057,0.322736,0.0,0.452072,0.552309,0.255957,0.576422,0.0,-0.33014,0.94215,11.3,13.4,0.9276,1.0591,-0.0424,0.3529,0.3114,0.15,16.0,-1.2,5.1677,-0.0077681,422.0,15.0,40.0,9,0.3
