code_alpha,code_fia,code_plants,target_bm,target_bm2,target_bm3,target_bm4
,,JUNI,OH,OH,OH,OH
JU,057,JUNIP,RM,RM,RM,RM
WJ,064,JUOC,RM,RM,RM,RM
,,JUOCA,RM,RM,RM,RM
,,JUOCO,RM,RM,RM,RM
UJ,065,JUOS,RM,RM,RM,RM
PJ,058,JUPI,OS,OS,OS,OS
,,JURE80,OH,OH,OH,OH
RM,066,JUSC2,RM,RM,RM,RM
ER,068,JUVI,OS,OS,OS,OS
,,JUVIV,OS,OS,OS,OS
,,KOPA,OH,OH,OH,OH
L,,,WL,WL,WL,WL
,,LAAN2,OH,OH,OH,OH
TA,071,LALA,WL,WL,WL,WL
LL,072,LALY,LL,LL,LL,LL
,,LANO80,OH,OH,OH,OH
WL,073,LAOC,WL,WL,WL,WL
OL,070,LARIX,WL,WL,WL,WL
TO,631,LIDE3,OH,OH,OH,OH
,,LIDED2,OH,OH,OH,OH
,,LIDEE,OH,OH,OH,OH
,,LIST2,OH,OH,OH,OH
,,LITHO,OH,OH,OH,OH
,,LYFL2,OH,OH,OH,OH
,,LYFLA,OH,OH,OH,OH
,,LYFLF,OH,OH,OH,OH
,,LYONO,OH,OH,OH,OH
M,,,OH,OH,OH,OH
,,MADA5,OH,OH,OH,OH
OR,661,MAFU,OH,OH,OH,OH
AL,660,MALUS,OH,OH,OH,OH
,,MAPU,OH,OH,OH,OH
OC,,,OS,OS,OS,OS
OH,,,OH,OH,OH,OH
DI,990,OLTE,OH,OH,OH,OH
OS,,,OS,OS,OS,OS
,,OSKN,OH,OH,OH,OH
,,OSVI,OH,OH,OH,OH
OT,,,OS,OS,OS,OS
WB,101,PIAL,WB,WB,WB,WB
BC,102,PIAR,OS,OS,OS,OS
AR,135,PIAR5,OS,OS,OS,OS
,,PIARA,OS,OS,OS,OS
,,PIARS2,OS,OS,OS,OS
KP,103,PIAT,OS,OS,OS,OS
,,PIAT2,OS,OS,OS,OS
,,PIAT4,OH,OH,OH,OH
FP,104,PIBA,OS,OS,OS,OS
,,PIBAA,OS,OS,OS,OS
,,PIBAB,OS,OS,OS,OS
BR,092,PIBR,OS,OS,OS,OS
ME,140,PICE,OS,OS,OS,OS
SR,090,PICEA,ES,ES,ES,ES
,,PICH4,OH,OH,OH,OH
LP,108,PICO,LP,LP,LP,LP
CP,109,PICO3,OS,OS,OS,OS
,,PICOB,OS,OS,OS,OS
,,PICOC,OS,OS,OS,OS
,,PICOL,LP,LP,LP,LP
,,PICOM,LP,LP,LP,LP
PD,134,PIDI3,OS,OS,OS,OS
PI,106,PIED,OS,OS,OS,OS
ES,093,PIEN,ES,ES,ES,ES
AP,112,PIEN2,OS,OS,OS,OS
,,PIENE,ES,ES,ES,ES
,,PIENM2,ES,ES,ES,ES
LM,113,PIFL2,LM,LM,LM,LM
WS,094,PIGL,ES,ES,ES,ES
,,PIHA7,OS,OS,OS,OS
JP,116,PIJE,OS,OS,OS,OS
SP,117,PILA,OS,OS,OS,OS
CI,118,PILE,OS,OS,OS,OS
,,PILEC,OS,OS,OS,OS
GB,142,PILO,OS,OS,OS,OS
LS,,PILU,OS,OS,OS,OS
BE,095,PIMA,OS,OS,OS,OS
PM,133,PIMO,OS,OS,OS,OS
WP,119,PIMO3,PP,PP,PP,PP
,,PIMOC,OS,OS,OS,OS
AZ,143,PIMOF,OS,OS,OS,OS
,,PIMOM2,OS,OS,OS,OS
BP,120,PIMU,OS,OS,OS,OS
PN,136,PINI,OS,OS,OS,OS
OP,100,PINUS,LP,LP,LP,LP
,,PIPI7,OS,OS,OS,OS
PP,122,PIPO,PP,PP,PP,PP
,,PIPOP,PP,PP,PP,PP
,,PIPOS,PP,PP,PP,PP
BS,096,PIPU,ES,ES,ES,ES
FO,138,PIQU,OS,OS,OS,OS
MP,124,PIRA2,OS,OS,OS,OS
GP,127,PISA2,OS,OS,OS,OS
SS,098,PISI,OS,OS,OS,OS
SW,114,PIST3,OS,OS,OS,OS
,,PISTA,OH,OH,OH,OH
ST,130,PISY,OS,OS,OS,OS
TP,139,PITO,OS,OS,OS,OS
,,PITOI2,OS,OS,OS,OS
,,PITOT2,OS,OS,OS,OS
WE,137,PIWA,OS,OS,OS,OS
SY,730,PLRA,OH,OH,OH,OH
,,PLWR2,OH,OH,OH,OH
,,POAC5,CW,CW,CW,CW
,,POAL7,CW,CW,CW,CW
NC,749,POAN3,NC,NC,NC,NC
BA,741,POBA2,BA,BA,BA,BA
,,POBAB2,CW,CW,CW,CW
CW,747,POBAT,CW,CW,CW,CW
,,POBR7,CW,CW,CW,CW
,,POCA19,OH,OH,OH,OH
,,PODE3,CW,CW,CW,CW
PW,745,PODEM,PW,PW,PW,PW
,,PODEW,OH,OH,OH,OH
FC,748,POFR2,OH,OH,OH,OH
,,POFRF3,OH,OH,OH,OH
,,POFRM,OH,OH,OH,OH
