code_alpha,code_fia,code_plants,target_ca,target_ca2,target_ca3,target_ca4
AZ,143,PIMOF,OS,OS,OS,OS
,,PIMOM2,OS,OS,OS,OS
BP,120,PIMU,OS,OS,OS,OS
PN,136,PINI,OS,OS,OS,OS
OP,100,PINUS,SP,SP,SP,SP
,,PIPI7,OS,OS,OS,OS
PP,122,PIPO,PP,PP,PP,PP
,,PIPOP,PP,PP,PP,PP
,,PIPOS,PP,PP,PP,PP
BS,096,PIPU,OS,OS,OS,OS
FO,138,PIQU,OS,OS,OS,OS
MP,124,PIRA2,MP,MP,MP,MP
GP,127,PISA2,GP,GP,GP,GP
SS,098,PISI,OS,OS,OS,OS
SW,114,PIST3,OS,OS,OS,OS
,,PISTA,OH,OH,OH,OH
ST,130,PISY,OS,OS,OS,OS
TP,139,PITO,MP,MP,MP,MP
,,PITOI2,MP,MP,MP,MP
,,PITOT2,MP,MP,MP,MP
WE,137,PIWA,PP,PP,PP,PP
SY,730,PLRA,SY,SY,SY,SY
,,PLWR2,SY,SY,SY,SY
,,POAC5,CW,CW,CW,CW
,,POAL7,CW,CW,CW,CW
NC,749,POAN3,CW,CW,CW,CW
BA,741,POBA2,CW,CW,CW,CW
,,POBAB2,CW,CW,CW,CW
CW,747,POBAT,CW,CW,CW,CW
,,POBR7,CW,CW,CW,CW
,,POCA19,CW,CW,CW,CW
,,PODE3,CW,CW,CW,CW
PW,745,PODEM,CW,CW,CW,CW
,,PODEW,CW,CW,CW,CW
FC,748,POFR2,CW,CW,CW,CW
,,POFRF3,CW,CW,CW,CW
,,POFRM,CW,CW,CW,CW
,,POHI8,CW,CW,CW,CW
,,POIN23,CW,CW,CW,CW
,,POJA2,CW,CW,CW,CW
,,PONI,CW,CW,CW,CW
,,POPA11,CW,CW,CW,CW
CO,740,POPUL,CW,CW,CW,CW
AS,746,POTR5,AS,AS,AS,AS
,,PRAM,OH,OH,OH,OH
,,PRAV,OH,OH,OH,OH
,,PRCE,OH,OH,OH,OH
,,PRDO,OH,OH,OH,OH
CH,768,PREM,OH,OH,OH,OH
,,PREME,OH,OH,OH,OH
HM,756,PRGL2,OH,OH,OH,OH
MQ,755,PROSO,OH,OH,OH,OH
SM,758,PRPU,OH,OH,OH,OH
PL,760,PRUNU,OH,OH,OH,OH
VM,757,PRVE,OH,OH,OH,OH
,,PRVID,OH,OH,OH,OH
,,PRVIM,OH,OH,OH,OH
,,PRVIV,OH,OH,OH,OH
OD,200,PSEUD7,DF,DF,DF,DF
BD,201,PSMA,OS,OS,OS,OS
DF,202,PSME,DF,DF,DF,DF
,,PSMEG,DF,DF,DF,DF
,,PSMEM,DF,DF,DF,DF
,,PYCO,OH,OH,OH,OH
LO,801,QUAG,LO,LO,LO,LO
,,QUAGA,LO,LO,LO,LO
,,QUAGO,LO,LO,LO,LO
AW,803,QUAR,OH,OH,OH,OH
,,QUBE5,OH,OH,OH,OH
CY,805,QUCH2,CY,CY,CY,CY
,,QUCHC,CY,CY,CY,CY
,,QUCHN,CY,CY,CY,CY
,,QUCO7,CY,CY,CY,CY
BL,807,QUDO,BL,BL,BL,BL
,,QUDU,IO,IO,IO,IO
,,QUDU4,CY,CY,CY,CY
EM,810,QUEM,OH,OH,OH,OH
EO,811,QUEN,EO,EO,EO,EO
OA,800,QUERC,LO,LO,LO,LO
WO,815,QUGA4,WO,WO,WO,WO
GO,814,QUGA,OH,OH,OH,OH
,,QUGAF,WO,WO,WO,WO
,,QUGAG,OH,OH,OH,OH
,,QUGAG2,WO,WO,WO,WO
,,QUGAS,WO,WO,WO,WO
GR,846,QUGR3,OH,OH,OH,OH
SO,843,QUHY,OH,OH,OH,OH
,,QUJO3,BO,BO,BO,BO
BO,818,QUKE,BO,BO,BO,BO
VO,821,QULO,VO,VO,VO,VO
BK,823,QUMA2,OH,OH,OH,OH
,,QUMO2,OH,OH,OH,OH
CK,826,QUMU,OH,OH,OH,OH
MK,829,QUOB,OH,OH,OH,OH
,,QUPA10,BO,BO,BO,BO
,,QUPA4,LO,LO,LO,LO
,,QURU4,OH,OH,OH,OH
,,QUSA2,OH,OH,OH,OH
,,QUTO2,OH,OH,OH,OH
,,QUTU2,OH,OH,OH,OH
,,QUUN,OH,OH,OH,OH
,,QUVA,OH,OH,OH,OH
IO,839,QUWI2,IO,IO,IO,IO
,,QUWIF,IO,IO,IO,IO
,,QUWIW,IO,IO,IO,IO
,,ROBIN,OH,OH,OH,OH
,,ROHI,OH,OH,OH,OH
,,ROHIF8,OH,OH,OH,OH
,,ROHIH,OH,OH,OH,OH
NM,902,RONE,OH,OH,OH,OH
,,RONEN,OH,OH,OH,OH
,,RONER,OH,OH,OH,OH
RP,901,ROPS,OH,OH,OH,OH
S,,,BR,BR,BR,BR
,,SAAL,WI,WI,WI,WI
,,SAAL2,WI,WI,WI,WI
,,SAALA,WI,WI,WI,WI
,,SAALL,WI,WI,WI,WI
,,SAAM2,WI,WI,WI,WI
,,SABA3,WI,WI,WI,WI
,,SABE2,WI,WI,WI,WI
,,SABO,WI,WI,WI,WI
,,SADE2,WI,WI,WI,WI
,,SAER,WI,WI,WI,WI
,,SAEX,WI,WI,WI,WI
,,SAFR,WI,WI,WI,WI
,,SAGE2,WI,WI,WI,WI
,,SAGL,WI,WI,WI,WI
,,SAGLV,WI,WI,WI,WI
,,SAGO,WI,WI,WI,WI
,,SAHO,WI,WI,WI,WI
,,SALA3,WI,WI,WI,WI
,,SALA6,WI,WI,WI,WI
,,SALAB,WI,WI,WI,WI
,,SALAL2,WI,WI,WI,WI
,,SALI,WI,WI,WI,WI
WI,920,SALIX,WI,WI,WI,WI
,,SALU,WI,WI,WI,WI
,,SALU2,WI,WI,WI,WI
,,SALUC,WI,WI,WI,WI
,,SALUL,WI,WI,WI,WI
,,SAMA12,WI,WI,WI,WI
,,SAME2,WI,WI,WI,WI
,,SAMO2,WI,WI,WI,WI
,,SAMY,WI,WI,WI,WI
,,SAPL2,WI,WI,WI,WI
,,SAPLP4,WI,WI,WI,WI
,,SAPR3,WI,WI,WI,WI
SU,928,SASC,WI,WI,WI,WI
,,SASE10,WI,WI,WI,WI
,,SASI2,WI,WI,WI,WI
,,SATA,WI,WI,WI,WI
GS,212,SEGI2,GS,GS,GS,GS
RW,211,SESE3,RW,RW,RW,RW
PY,231,TABR2,PY,PY,PY,PY
OY,230,TAXUS,PY,PY,PY,PY
RC,242,THPL,RC,RC,RC,RC
TS,240,THUJA,RC,RC,RC,RC
CN,251,TOCA,CN,CN,CN,CN
WH,263,TSHE,WH,WH,WH,WH
MH,264,TSME,MH,MH,MH,MH
HS,260,TSUGA,WH,WH,WH,WH
,,UMBEL,CL,CL,CL,CL
CL,981,UMCA,CL,CL,CL,CL
,,UMCAC,CL,CL,CL,CL
,,UMCAF,CL,CL,CL,CL
