forest_idx,species_index,p2,p3,p4
5,38,1709.722900,5.888700,-0.228600
5,39,1709.722900,5.888700,-0.228600
6,1,237.918900,7.794800,-0.726100
6,2,475.169800,6.247200,-0.481200
6,3,432.218600,6.294100,-0.502800
6,4,133.868900,6.779800,-0.737500
6,5,375.382000,6.088000,-0.472000
6,6,375.382000,6.088000,-0.472000
6,7,483.375100,7.244300,-0.511100
6,8,97.776900,8.820200,-1.053400
6,9,4691.633700,7.467100,-0.198900
6,10,206.321100,9.122700,-0.828100
6,11,105.445300,7.969400,-1.091600
6,12,1031.520300,7.661600,-0.359900
6,13,702.185600,5.702500,-0.379800
6,14,514.157500,6.300400,-0.465100
6,15,1181.724400,6.698100,-0.315100
6,16,439.119500,5.817600,-0.485400
6,17,595.106800,5.810300,-0.382100
6,18,1012.126700,6.095700,-0.308300
6,19,395.497600,6.422200,-0.532000
6,20,192.960900,7.387600,-0.723100
6,21,160.217100,3.304400,-0.529900
6,22,10099.720900,7.637500,-0.162100
6,23,133.796500,6.405000,-0.832900
6,24,1709.722900,5.888700,-0.228600
6,25,10707.390600,8.467000,-0.186300
6,26,1709.722900,5.888700,-0.228600
6,27,178.644100,4.585200,-0.674600
6,28,55.000000,5.500000,-0.950000
6,29,503.661900,4.954400,-0.208500
6,30,503.661900,4.954400,-0.208500
6,31,73.914700,3.963000,-0.827700
6,32,34749.473600,9.128700,-0.141700
6,33,139.072700,5.206200,-0.540900
6,34,444.561800,3.920500,-0.239700
6,35,55.000000,5.500000,-0.950000
6,36,73.334800,2.654800,-1.246000
6,37,149.586100,2.423100,-0.180000
6,38,1709.722900,5.888700,-0.228600
6,39,1709.722900,5.888700,-0.228600
