species_index,code_alpha,code_fia,code_plants,site_lo,site_hi,dbh_max,bark1,bark2,bark_imap,st_dgmax,st_xmax,st_xmin,st_diam,st_htadj,st_break,ht1,ht2,wykoff_ht2,mort_bkgd_intercept,mort_bkgd_dbh,sdi_max_default,stump,top_dib,dbh_min,scf_min_dbh,scf_top_dib,scf_stump,bf_min_dbh,bf_top_dib,bf_stump,htdbh_iwykca,htdbh_ht1,htdbh_ht2,htdbh_p2,htdbh_p3,htdbh_p4,htdbh_db,varmrt_varadj,is_sprouting
29,AJ,63,JUDE2,6.0,30.0,50.0,0.8967,-0.4448,1,2.0,199.0,99.0,0.3,1.0,99.0,4.192,-5.1651,-5.1651,5.1677,-0.0077681,395.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,4.192,-5.1651,0.0,0.0,0.0,0.0,0.7,0
30,RM,66,JUSC2,6.0,30.0,50.0,0.8967,-0.4448,1,2.0,199.0,99.0,0.3,1.0,99.0,4.192,-5.1651,-5.1651,5.1677,-0.0077681,411.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,4.192,-5.1651,0.0,0.0,0.0,0.0,0.7,0
31,OJ,69,JUMO,6.0,30.0,50.0,0.8967,-0.4448,1,2.0,199.0,99.0,0.3,1.0,99.0,4.192,-5.1651,-5.1651,5.1677,-0.0077681,408.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,4.192,-5.1651,0.0,0.0,0.0,0.0,0.7,0
32,ER,68,JUVI,6.0,30.0,50.0,0.8967,-0.4448,1,2.0,199.0,99.0,0.3,1.0,99.0,4.192,-5.1651,-5.1651,5.1677,-0.0077681,354.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,4.192,-5.1651,0.0,0.0,0.0,0.0,0.7,0
33,PM,133,PIMO,6.0,40.0,30.0,0.8967,-0.4448,1,2.0,199.0,99.0,0.4,1.0,99.0,4.192,-5.1651,-5.1651,5.1677,-0.0077681,358.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,4.192,-5.1651,0.0,0.0,0.0,0.0,0.7,0
34,PD,134,PIDI3,6.0,40.0,30.0,0.8967,-0.4448,1,2.0,199.0,99.0,0.4,1.0,99.0,4.192,-5.1651,-5.1651,5.1677,-0.0077681,348.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,4.192,-5.1651,0.0,0.0,0.0,0.0,0.7,0
35,AZ,143,PIMOF,6.0,40.0,30.0,0.8967,-0.4448,1,2.0,199.0,99.0,0.4,1.0,99.0,4.192,-5.1651,-5.1651,5.1677,-0.0077681,358.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,4.192,-5.1651,0.0,0.0,0.0,0.0,0.7,0
36,CI,118,PILE,30.0,100.0,50.0,0.8967,-0.4448,1,2.8,2.0,0.5,0.5,1.0,1.0,4.6024,-11.4693,-11.4693,5.5877,-0.005348,446.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,4.6024,-11.4693,0.0,0.0,0.0,0.0,0.7,0
37,OS,299,2TN,30.0,95.0,20.0,0.8967,-0.4448,1,2.8,2.0,0.5,0.2,1.0,1.0,4.2597,-9.3949,-9.3949,5.1677,-0.0077681,348.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,4.2597,-9.3949,0.0,0.0,0.0,0.0,0.7,0
38,OH,998,2TB,20.0,100.0,20.0,0.892,-0.086,3,2.5,2.0,0.5,0.2,1.0,1.0,4.4421,-6.5405,-6.5405,5.9617,-0.0340128,452.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,4.4421,-6.5405,0.0,0.0,0.0,0.0,0.9,0
