kodfor,fia,veq
215,113,200FW2W122
215,108,200FW2W108
215,106,200DVEW106
215,122,200FW2W122
215,101,200FW2W122
215,114,200FW2W122
215,65,200DVEW065
215,96,407FW2W093
215,93,407FW2W093
215,94,407FW2W093
215,746,200FW2W746
215,749,300DVEW999
215,745,300DVEW999
215,814,200DVEW814
215,803,300DVEW800
215,810,300DVEW800
215,823,200DVEW823
215,843,300DVEW800
215,375,300DVEW999
215,63,300DVEW060
215,66,200DVEW066
215,69,200DVEW069
215,68,300DVEW060
215,133,300DVEW106
215,134,300DVEW106
215,143,300DVEW106
215,118,200FW2W122
215,299,300DVEW060
215,998,200DVEW998
301,19,300DVEW093
301,18,NVB0000015
301,202,300FW2W202
301,17,300DVEW093
301,15,NVB0000015
301,264,301DVEW015
301,242,301DVEW015
301,73,301DVEW015
301,102,300DVEW113
301,113,300DVEW113
301,108,301DVEW202
301,106,300DVEW106
301,122,300FW2W122
301,101,300DVEW113
301,114,NVBM240119
301,65,300DVEW060
301,96,300DVEW093
301,93,NVBM330093
301,94,300DVEW093
301,746,NVB0000746
301,749,300DVEW999
301,745,300DVEW999
301,814,300DVEW800
301,803,300DVEW800
301,810,300DVEW800
301,823,300DVEW800
301,843,300DVEW800
301,375,300DVEW999
301,63,300DVEW060
301,66,300DVEW060
301,69,300DVEW060
301,68,300DVEW060
301,133,300DVEW106
301,134,300DVEW106
301,143,300DVEW106
301,118,300DVEW122
301,299,300DVEW060
301,998,300DVEW999
302,19,300DVEW093
302,18,NVB0000015
302,202,300FW2W202
302,17,300DVEW093
302,15,NVB0000015
302,264,301DVEW015
302,242,301DVEW015
302,73,301DVEW015
302,102,300DVEW113
302,113,300DVEW113
302,108,301DVEW202
302,106,300DVEW106
302,122,300FW2W122
302,101,300DVEW113
302,114,NVBM240119
302,65,300DVEW060
302,96,300DVEW093
302,93,NVBM330093
302,94,300DVEW093
302,746,NVB0000746
302,749,300DVEW999
302,745,300DVEW999
302,814,300DVEW800
302,803,300DVEW800
302,810,300DVEW800
302,823,300DVEW800
302,843,300DVEW800
302,375,300DVEW999
302,63,300DVEW060
302,66,300DVEW060
302,69,300DVEW060
302,68,300DVEW060
302,133,300DVEW106
302,134,300DVEW106
302,143,300DVEW106
302,118,300DVEW122
302,299,300DVEW060
302,998,300DVEW999
303,19,300DVEW093
303,18,NVB0000015
303,202,300FW2W202
303,17,300DVEW093
303,15,NVB0000015
303,264,301DVEW015
303,242,301DVEW015
303,73,301DVEW015
303,102,300DVEW113
303,113,300DVEW113
303,108,301DVEW202
303,106,300DVEW106
303,122,300FW2W122
303,101,300DVEW113
303,114,NVBM240119
303,65,300DVEW060
303,96,300DVEW093
303,93,NVBM330093
303,94,300DVEW093
303,746,NVB0000746
303,749,300DVEW999
303,745,300DVEW999
303,814,300DVEW800
303,803,300DVEW800
303,810,300DVEW800
303,823,300DVEW800
303,843,300DVEW800
303,375,300DVEW999
303,63,300DVEW060
303,66,300DVEW060
303,69,300DVEW060
303,68,300DVEW060
303,133,300DVEW106
303,134,300DVEW106
303,143,300DVEW106
303,118,300DVEW122
303,299,300DVEW060
303,998,300DVEW999
304,19,300DVEW093
304,18,NVB0000015
304,202,300FW2W202
304,17,300DVEW093
304,15,NVB0000015
304,264,301DVEW015
304,242,301DVEW015
304,73,301DVEW015
304,102,300DVEW113
304,113,300DVEW113
304,108,301DVEW202
304,106,300DVEW106
304,122,300FW2W122
304,101,300DVEW113
304,114,NVBM240119
304,65,300DVEW060
304,96,300DVEW093
304,93,NVBM330093
304,94,300DVEW093
304,746,NVB0000746
304,749,300DVEW999
304,745,300DVEW999
304,814,300DVEW800
304,803,300DVEW800
304,810,300DVEW800
304,823,300DVEW800
304,843,300DVEW800
304,375,300DVEW999
304,63,300DVEW060
304,66,300DVEW060
304,69,300DVEW060
304,68,300DVEW060
304,133,300DVEW106
304,134,300DVEW106
304,143,300DVEW106
304,118,300DVEW122
304,299,300DVEW060
304,998,300DVEW999
305,19,300DVEW093
305,18,NVB0000015
305,202,300FW2W202
305,17,300DVEW093
305,15,NVB0000015
305,264,301DVEW015
305,242,301DVEW015
305,73,301DVEW015
305,102,300DVEW113
305,113,300DVEW113
305,108,301DVEW202
305,106,300DVEW106
305,122,300FW2W122
305,101,300DVEW113
305,114,NVBM240119
305,65,300DVEW060
305,96,300DVEW093
305,93,NVBM330093
305,94,300DVEW093
305,746,NVB0000746
305,749,300DVEW999
305,745,300DVEW999
305,814,300DVEW800
305,803,300DVEW800
305,810,300DVEW800
305,823,300DVEW800
305,843,300DVEW800
305,375,300DVEW999
305,63,300DVEW060
305,66,300DVEW060
305,69,300DVEW060
305,68,300DVEW060
305,133,300DVEW106
305,134,300DVEW106
305,143,300DVEW106
305,118,300DVEW122
305,299,300DVEW060
305,998,300DVEW999
306,19,300DVEW093
306,18,NVB0000015
306,202,300FW2W202
306,17,300DVEW093
306,15,NVB0000015
306,264,301DVEW015
306,242,301DVEW015
306,73,301DVEW015
306,102,300DVEW113
306,113,300DVEW113
306,108,301DVEW202
306,106,300DVEW106
306,122,300FW2W122
306,101,300DVEW113
306,114,NVBM240119
306,65,300DVEW060
306,96,300DVEW093
306,93,NVBM330093
306,94,300DVEW093
306,746,NVB0000746
306,749,300DVEW999
306,745,300DVEW999
306,814,300DVEW800
306,803,300DVEW800
306,810,300DVEW800
306,823,300DVEW800
306,843,300DVEW800
306,375,300DVEW999
306,63,300DVEW060
306,66,300DVEW060
306,69,300DVEW060
306,68,300DVEW060
306,133,300DVEW106
306,134,300DVEW106
306,143,300DVEW106
306,118,300DVEW122
